Name,Desc,PlantType,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance,Type de Sol
Justicia (Jacobinia),"Justicia est un grand genre d’environ 600 espèces de vivaces et d’arbustes persistants de la famille des Acanthacées, originaire des Amériques, d’Afrique et d’Inde. Leurs fleurs tubulaires sont souvent disposées en épis ou en épis feuillés, et leur feuillage peut être fortement nervuré. Faciles à cultiver, elles préfèrent l’ombre ou la mi-ombre.","Perennials, Shrubs",Summer,"The smaller types grow in mounds about 50 cm (2 ft) high, while others are more shrublike and grow up to 2,5 metres (8 ft) tall.","Justicia prefers well drained, acidic to neutral soil.","Partial sun, Shade",avarage,low,Limon
Kalmia (Spoonwood),"Kalmia est un genre d’une dizaine d’espèces d’arbustes persistants de la famille des Éricacées, présents en Amérique du Nord. Ils se distinguent par leurs feuilles coriaces et leurs grappes de fleurs en forme de coupe, souvent roses ou blanches, délicatement décorées de motifs contrastés. Les kalmias sont des plantes ornementales appréciées dans les jardins.",Shrubs,"Spring, Summer",These plants range from 25 cm (1 ft) to 5 metres (16 ft) in height.,"The plant prefers moist, well drained and acidic soil.","Full sun, Partial sun",avarage,low,Limon
Kerria (Japanese kerria; Japanese rose),"Kerria est un genre qui ne compte qu’une seule espèce : Kerria japonica, de la famille des Rosacées, originaire d’Asie de l’Est. Cet arbuste caduc produit des fleurs jaunes à cinq pétales rappelant de petites roses, et un feuillage vert vif dentelé. Il fleurit principalement au printemps, avec quelques remontées florales en été.",Shrubs,"Spring, Summer",Kerria grows up to 3 metres (10 ft) in height.,"Kerria japonica grows best in moist, well drained and slightly acidic soil.",Partial sun,avarage,low,Limon
Kniphofia (Red Hot Pokers; Torch Lily; Tritoma),"Kniphofia est un genre d’environ 70 espèces de la famille des Asphodélacées, originaires d’Afrique et du Moyen-Orient. Ces plantes ont un feuillage linéaire et des inflorescences en épis denses de fleurs tubulaires qui fleurissent successivement, du bas vers le haut, et offrent une abondance de nectar attirant abeilles et papillons.",Perennials,"Spring, Autumn, Summer",Kniphofia grows up to 2 metres (7 ft) high.,"The plant will grow in moist and well drained soil that is neutral, alkaline or acidic.",Full sun,avarage,low,Limon
Kolkwitzia (Beauty Bush),"Kolkwitzia est un genre qui comprend une seule espèce : Kolkwitzia amabilis, un arbuste à feuilles caduques de la famille des Caprifoliacées, originaire de Chine. Il produit de jolies fleurs en clochette, blanches ou roses avec un cœur jaune, regroupées en panicules, et un feuillage opposé vert foncé. Très décoratif et adaptable dans de nombreux jardins.",Shrubs,"Spring, Summer",Kolkwitzia amabilis grows up to 3 metres (10 ft) in height.,"The plant prefers fertile and moist, but well drained soil. It can tolerate acid to alkaline soil, with a pH between 5.0 and 8.0.","Full sun, Partial sun",avarage,low,Limon
Lantana (Shrub Verbena),"Lantana est un genre de plus de 150 espèces de la famille des Verbénacées, originaires des régions tropicales d’Amérique et d’Afrique du Sud. Cet arbuste à feuillage persistant ou semi-persistant produit des inflorescences de petites fleurs tubulaires colorées, dont la teinte évolue en vieillissant. Il fleurit tout au long de la saison chaude, attirant papillons et colibris.","Annuals, Perennials, Shrubs","Spring, Autumn, Summer","The species range in size from 25 cm to 1,2 metres (10 inches to 4 ft) tall.","Lantana prefers moist, but well drained soil, with a pH between 6.5 and 7.5.",Full sun,avarage,low,Limon
Lathyrus (Sweet Pea ),"Lathyrus, connu sous le nom de Pois de senteur, est un genre d’environ 150 espèces de la famille des Fabacées, principalement originaires du bassin méditerranéen. Les fleurs papilionacées comportent cinq pétales : un grand pétale supérieur, deux pétales latéraux et deux pétales inférieurs soudés. Souvent parfumées, elles offrent une large palette de couleurs.","Annuals, Climbers, Perennials","Spring, Autumn, Summer","The species range from 30 cm (1 ft) to 280 cm (9 ft) tall, depending on variety.","The plant grows in moist and well drained soil and will survive in acid, alkaline and neutral soil.",Full sun,avarage,low,Limon
Leucojum (Snowflake),"Leucojum est un genre qui ne compte que deux espèces de la famille des Amaryllidacées : Leucojum vernum et Leucojum aestivum, originaires d’Eurasie. Ces plantes bulbeuses possèdent un feuillage linéaire et des fleurs blanches pendantes en forme de cloche, ornées de marques vertes ou jaunâtres au bout de chaque pétale. Elles sont parfumées et délicates.","Bulbs, Perennials","Spring, Summer",Leucojum grows up to 60 cm (2 ft) high.,"These plants are not fussy about soil type, but they bloom best in a soil that is rich, moist and well-drained.","Full sun, Partial sun",avarage,low,Limon
Liatris (Blazing Star; Gayfeather),"Liatris est un genre d’environ 50 espèces de plantes vivaces de la famille des Astéracées, originaires d’Amérique du Nord, du Mexique et des Bahamas. Ces fleurs de prairie produisent des épis floraux plumeux ou en épis serrés, et un feuillage linéaire le long de la tige. Leur floraison intervient en fin d’été ou début d’automne, et elles sont très appréciées dans les massifs.",Perennials,"Autumn, Summer",The plant grows up to 150 cm (5 ft) in height.,"Liatris will grow best in sandy or loamy soil, with a pH between 5.5 and 7.5. Plant Liatris in tough soil conditions with good drainage.",Full sun,avarage,low,Limon
Lilium (Lily),"Lilium est un genre d’environ 100 espèces de plantes à bulbe de la famille des Liliacées, réparties dans l’hémisphère Nord. Les lis ont des feuilles souvent étroites et des fleurs spectaculaires composées de six tépales (trois pétales et trois sépales identiques), souvent en forme de trompette ou de turban, dans une vaste gamme de couleurs. Certains sont également très parfumés.","Bulbs, Perennials","Spring, Autumn, Summer","Some species are small, about 30 cm or 1 ft (such as Dwarf Asiatic Lilies), while others can reach a height of 270 cm or 9 ft (Lilium Superbum).",Most Lilies prefer moist and well drained soil and they will perform best in soil that is slightly acidic.,"Full sun, Partial sun",avarage,low,Limon
Lobelia (Lobelia),"Lobelia est un genre regroupant plus de 400 espèces de la famille des Campanulacées, présentes sur tous les continents. Les fleurs sont tubulaires à cinq pétales, deux supérieurs fins et trois inférieurs plus larges. Les coloris (bleu, rouge, violet, rose, blanc) et la longue floraison font de la lobélie une plante très appréciée en massifs, suspensions et potées.","Annuals, Perennials, Shrubs","Spring, Autumn, Summer","The plant ranges in height from 15 cm (6 inches) to 150 cm (5 ft), depending on species.","Lobelia prefers rich, moist and well drained soil, with a pH level from 6.0 to 7.5.","Full sun, Partial sun",avarage,low,Limon
Lonicera (Honeysuckle),"Lonicera, le Chèvrefeuille, est un genre d’environ 100 espèces d’arbustes et de plantes grimpantes de la famille des Caprifoliacées, originaire de l’hémisphère Nord. Les fleurs, souvent tubulaires et très parfumées, poussent en grappes terminales et peuvent être blanches, jaunes, roses ou rouges. Elles attirent particulièrement les papillons et les abeilles.","Climbers, Shrubs","Spring, Autumn, Winter, Summer",Honeysuckles range in height from 60 cm (2 ft) to 9 m (30 ft) tall.,"Some species prefer fertile, rich, moist and well-drained soil, while others will grow in any well-drained soil.","Full sun, Partial sun",avarage,low,Limon
Lupinus (Lupine; Lupin),"Lupinus est un genre d’environ 500 espèces de la famille des Fabacées, originaires principalement des régions méditerranéennes, d’Afrique du Nord, d’Australasie et des Amériques. Ces plantes annuelles ou vivaces ont des feuilles palmées et des épis floraux dressés, composés de fleurs papilionacées. Elles sont appréciées pour leurs couleurs vives et leur capacité à fixer l’azote.","Annuals, Perennials","Spring, Summer","Lupinus grows from 30 cm to 1,5 m (1 to 5 ft) tall, depending on species.","Lupinus grows best in well drained, neutral to slightly acidic soil. The ideal pH is between 5.5 and 7.0.","Full sun, Partial sun",avarage,low,Limon
Lycoris (Spider Lily),"Lycoris est un genre d’une vingtaine d’espèces de la famille des Amaryllidacées, originaire d’Asie de l’Est (Chine, Japon). La plupart présentent des fleurs aux pétales fins et ondulés, avec de longues étamines proéminentes leur donnant un aspect d’araignée. Les coloris sont variés et très décoratifs en fin d’été ou en automne.","Bulbs, Perennials","Spring, Autumn, Summer",Lycoris grows up to 60 cm (2 ft) in height.,"The plant prefers soils that are rich and well-drained, with medium moisture. It is not fussy about the soil pH.","Full sun, Partial sun",avarage,low,Limon
Magnolia (Magnolia),"Magnolia est un genre de plus de 200 espèces de la famille des Magnoliacées, originaires d’Asie, d’Amérique centrale et des régions tropicales et subtropicales. Ces arbres ou arbustes sont reconnus pour leurs grandes fleurs parfumées, souvent blanches ou roses, et leurs feuilles persistantes ou caduques, épaisses et brillantes.","Shrubs, Trees","Spring, Summer","The trees can grow to a height of 20 metres (65 ft), while shrubs are smaller and are 2,5 to 6 metres (8-20 ft) high.","Magnolia grows best in rich, moist and well drained soil. They prefer acidic soil, but can tolerate clay, loam, or sand.","Full sun, Partial sun",avarage,low,Limon
Malva (Mallow),"Malva, la Mauve, est un genre d’environ 30 espèces de la famille des Malvacées, originaire d’Europe, d’Afrique du Nord et d’Asie tempérée. Les fleurs, en forme de coupe, comportent cinq pétales souvent roses, pourpres ou blancs, parfois veinés. Les mauves sont des plantes ornementales appréciées en bordures, massifs et prairies fleuries.","Annuals, Perennials","Spring, Autumn, Summer","This plant grows up to 150 cm (5 ft) in height, but most of the species are smaller than that.","Mallow likes rich and well-drained soil, even slightly dry and poor. Most species prefer neutral to slightly acidic pH.","Full sun, Partial sun",avarage,low,Limon
Mandevilla (Dipladenia; Rocktrumpet),"Mandevilla est un genre d’environ 200 espèces de lianes vivaces de la famille des Apocynacées, principalement originaires d’Amérique du Sud. Ces plantes tropicales grimpantes produisent des fleurs grandes, colorées et en forme de trompette, qui contrastent joliment avec leur feuillage vert brillant. Idéales pour donner une touche exotique au jardin.","Annuals, Climbers, Perennials","Spring, Autumn, Summer","The species can grow up to 6 metres (20 ft) in height, or even more.","Mandevilla prefers rich, sandy and well drained soil with organic material added.",Partial sun,avarage,medium,Limon
Monarda (Bee Balm; Bergamot),"Monarda est un genre d’une vingtaine d’espèces de la famille des Lamiacées, originaire d’Amérique du Nord. Les fleurs tubulaires et nectarifères, souvent roses, rouges, violettes ou blanches, sont regroupées en têtes denses entourées de bractées colorées. Appréciée des pollinisateurs, la monarde est idéale dans les massifs et jardins de papillons.",Perennials,"Autumn, Summer","Different varieties vary in height from dwarf species barely 25 cm (10 inches) tall to ""giants"" that reach about 1,5 metres (5 ft) high.","Monarda prefers well drained soil, with a pH from 6.0 to 7.0.","Full sun, Partial sun",avarage,low,Limon
Muscari (Grape Hyacinth),"Muscari est un genre d’environ 40 espèces de plantes à bulbe de la famille des Asparagacées, originaires d’Eurasie. Elles produisent des grappes de petites fleurs en forme d’urne, souvent bleues, parfois blanches ou roses, rappelant de petits raisins. Faciles à cultiver, elles sont parfaites en massifs, bordures, rocailles ou sous des arbres.",Bulbs,Spring,Muscari is a small plant that grows between 10 cm (4 inches) and 25 cm (10 inches) tall.,"The plant grows best in moist and well drained soil, with a pH between 6.0 and 7.0.","Full sun, Partial sun",avarage,low,Limon
